Second,Volt
0.450672,4.21
0.450674,4.13
0.450676,4.29
0.450678,4.21
0.45068,4.29
0.450682,4.21
0.450684,4.29
0.450686,4.21
0.450688,4.29
0.45069,4.21
0.450692,4.13
0.450694,4.21
0.450696,4.13
0.450698,4.29
0.4507,4.21
0.450702,4.21
0.450704,4.21
0.450706,4.13
0.450708,4.21
0.45071,4.21
0.450712,4.13
0.450714,4.13
0.450716,4.29
0.450718,4.21
0.45072,4.21
0.450722,4.21
0.450724,4.13
0.450726,4.21
0.450728,4.13
0.45073,4.21
0.450732,4.29
0.450734,4.13
0.450736,4.29
0.450738,4.29
0.45074,4.21
0.450742,4.21
0.450744,4.29
0.450746,4.21
0.450748,4.21
0.45075,4.21
0.450752,4.21
0.450754,4.13
0.450756,4.21
0.450758,4.29
0.45076,4.21
0.450762,4.29
0.450764,4.21
0.450766,4.21
0.450768,4.29
0.45077,4.21
0.450772,4.21
0.450774,4.29
0.450776,4.21
0.450778,4.21
0.45078,4.21
0.450782,4.29
0.450784,4.29
0.450786,4.21
0.450788,4.29
0.45079,4.21
0.450792,4.21
0.450794,4.21
0.450796,4.13
0.450798,4.21
0.4508,4.29
0.450802,4.29
0.450804,4.21
0.450806,4.29
0.450808,4.21
0.45081,4.21
0.450812,4.29
0.450814,4.29
0.450816,4.21
0.450818,4.21
0.45082,4.29
0.450822,4.29
0.450824,4.29
0.450826,4.21
0.450828,4.21
0.45083,4.21
0.450832,4.21
0.450834,4.29
0.450836,4.29
0.450838,4.29
0.45084,4.21
0.450842,4.21
0.450844,4.21
0.450846,4.21
0.450848,4.29
0.45085,4.21
0.450852,4.21
0.450854,4.21
0.450856,4.21
0.450858,4.21
0.45086,4.29
0.450862,4.29
0.450864,4.29
0.450866,4.21
0.450868,4.21
0.45087,4.21
0.450872,4.21
0.450874,4.29
0.450876,4.29
0.450878,4.21
0.45088,4.21
0.450882,4.21
0.450884,4.21
0.450886,4.29
0.450888,4.29
0.45089,4.29
0.450892,4.21
0.450894,4.21
0.450896,4.21
0.450898,4.21
0.4509,4.21
0.450902,4.21
0.450904,4.21
0.450906,4.21
0.450908,4.29
0.45091,4.21
0.450912,4.21
0.450914,4.21
0.450916,4.21
0.450918,4.29
0.45092,4.29
0.450922,4.29
0.450924,4.21
0.450926,4.21
0.450928,4.29
0.45093,4.21
0.450932,4.29
0.450934,4.29
0.450936,4.21
0.450938,4.21
0.45094,4.29
0.450942,4.21
0.450944,4.29
0.450946,4.21
0.450948,4.29
0.45095,4.29
0.450952,4.29
0.450954,4.21
0.450956,4.21
0.450958,4.21
0.45096,4.21
0.450962,4.29
0.450964,4.21
0.450966,4.21
0.450968,4.29
0.45097,4.21
0.450972,4.21
0.450974,4.21
0.450976,4.21
0.450978,4.21
0.45098,4.21
0.450982,4.21
0.450984,4.21
0.450986,4.21
0.450988,4.21
0.45099,4.29
0.450992,4.21
0.450994,4.21
0.450996,4.21
0.450998,4.21
0.451,4.29
0.451002,4.21
0.451004,4.21
0.451006,4.29
0.451008,4.21
0.45101,4.29
0.451012,4.29
0.451014,4.21
0.451016,4.29
0.451018,4.29
0.45102,4.29
0.451022,4.21
0.451024,4.21
0.451026,4.21
0.451028,4.29
0.45103,4.21
0.451032,4.21
0.451034,4.21
0.451036,4.21
0.451038,4.21
0.45104,4.21
0.451042,4.21
0.451044,4.29
0.451046,4.29
0.451048,4.29
0.45105,4.21
0.451052,4.29
0.451054,4.21
0.451056,4.29
0.451058,4.21
0.45106,4.29
0.451062,4.21
0.451064,4.29
0.451066,4.21
0.451068,4.21
0.45107,4.21
0.451072,4.29
0.451074,4.21
0.451076,4.29
0.451078,4.21
0.45108,4.21
0.451082,4.21
0.451084,4.29
0.451086,4.21
0.451088,4.29
0.45109,4.21
0.451092,4.29
0.451094,4.21
0.451096,4.21
0.451098,4.21
0.4511,4.29
0.451102,4.29
0.451104,4.21
0.451106,4.21
0.451108,4.29
0.45111,4.21
0.451112,4.29
0.451114,4.21
0.451116,4.21
0.451118,4.21
0.45112,4.21
0.451122,4.29
0.451124,4.29
0.451126,4.29
0.451128,4.29
0.45113,4.21
0.451132,4.21
0.451134,4.21
0.451136,4.37
0.451138,4.29
0.45114,4.21
0.451142,4.21
0.451144,4.21
0.451146,4.29
0.451148,4.29
0.45115,4.29
0.451152,4.21
0.451154,4.21
0.451156,4.21
0.451158,4.21
0.45116,4.21
0.451162,4.29
0.451164,4.21
0.451166,4.29
0.451168,4.29
0.45117,4.29
0.451172,4.29
0.451174,4.21
0.451176,4.21
0.451178,4.29
0.45118,4.29
0.451182,4.29
0.451184,4.21
0.451186,4.21
0.451188,4.21
0.45119,4.21
0.451192,4.21
0.451194,4.29
0.451196,4.21
0.451198,4.29
0.4512,4.29
0.451202,4.29
0.451204,4.21
0.451206,4.29
0.451208,4.21
0.45121,4.29
0.451212,4.21
0.451214,4.29
0.451216,4.29
0.451218,4.29
0.45122,4.21
0.451222,4.21
0.451224,4.29
0.451226,4.29
0.451228,4.21
0.45123,4.29
0.451232,4.29
0.451234,4.21
0.451236,4.21
0.451238,4.21
0.45124,4.21
0.451242,4.37
0.451244,4.21
0.451246,4.21
0.451248,4.21
0.45125,4.29
0.451252,4.21
0.451254,4.29
0.451256,4.21
0.451258,4.21
0.45126,4.29
0.451262,4.21
0.451264,4.29
0.451266,4.21
0.451268,4.21
0.45127,4.21
0.451272,4.29
0.451274,4.29
0.451276,4.21
0.451278,4.29
0.45128,4.21
0.451282,4.21
0.451284,4.37
0.451286,4.21
0.451288,4.29
0.45129,4.21
0.451292,4.29
0.451294,4.29
0.451296,4.21
0.451298,4.21
0.4513,4.21
0.451302,4.29
0.451304,4.21
0.451306,4.21
0.451308,4.21
0.45131,4.21
0.451312,4.29
0.451314,4.13
0.451316,4.21
0.451318,4.21
0.45132,4.21
0.451322,4.21
0.451324,4.29
0.451326,4.21
0.451328,4.21
0.45133,4.29
0.451332,4.21
0.451334,4.29
0.451336,4.29
0.451338,4.29
0.45134,4.21
0.451342,4.29
0.451344,4.21
0.451346,4.21
0.451348,4.21
0.45135,4.29
0.451352,4.21
0.451354,4.21
0.451356,4.21
0.451358,4.21
0.45136,4.29
0.451362,4.29
0.451364,4.29
0.451366,4.21
0.451368,4.29
0.45137,4.21
0.451372,4.29
0.451374,4.29
0.451376,4.37
0.451378,4.37
0.45138,4.21
0.451382,4.21
0.451384,4.29
0.451386,4.37
0.451388,4.21
0.45139,4.21
0.451392,4.29
0.451394,4.21
0.451396,4.21
0.451398,4.21
0.4514,4.29
0.451402,4.21
0.451404,4.29
0.451406,4.21
0.451408,4.21
0.45141,4.29
0.451412,4.29
0.451414,4.21
0.451416,4.29
0.451418,4.29
0.45142,4.21
0.451422,4.21
0.451424,4.29
0.451426,4.21
0.451428,4.21
0.45143,4.21
0.451432,4.21
0.451434,4.29
0.451436,4.29
0.451438,4.29
0.45144,4.21
0.451442,4.21
0.451444,4.21
0.451446,4.21
0.451448,4.29
0.45145,4.29
0.451452,4.21
0.451454,4.21
0.451456,4.21
0.451458,4.29
0.45146,4.21
0.451462,4.21
0.451464,4.29
0.451466,4.29
0.451468,4.21
0.45147,4.21
0.451472,4.29
0.451474,4.29
0.451476,4.29
0.451478,4.29
0.45148,4.21
0.451482,4.29
0.451484,4.21
0.451486,4.29
0.451488,4.21
0.45149,4.21
0.451492,4.21
0.451494,4.29
0.451496,4.29
0.451498,4.37
0.4515,4.29
0.451502,4.21
0.451504,4.21
0.451506,4.29
0.451508,4.29
0.45151,4.29
0.451512,4.29
0.451514,4.37
0.451516,4.29
0.451518,4.29
0.45152,4.21
0.451522,4.21
0.451524,4.29
0.451526,4.21
0.451528,4.29
0.45153,4.21
0.451532,4.29
0.451534,4.29
0.451536,4.29
0.451538,4.21
0.45154,4.21
0.451542,4.21
0.451544,4.29
0.451546,4.29
0.451548,4.29
0.45155,4.21
0.451552,4.29
0.451554,4.21
0.451556,4.29
0.451558,4.21
0.45156,4.21
0.451562,4.21
0.451564,4.21
0.451566,4.21
0.451568,4.21
0.45157,4.21
0.451572,4.29
0.451574,4.21
0.451576,4.37
0.451578,4.29
0.45158,4.21
0.451582,4.37
0.451584,4.21
0.451586,4.29
0.451588,4.29
0.45159,4.21
0.451592,4.29
0.451594,4.21
0.451596,4.21
0.451598,4.21
0.4516,4.21
0.451602,4.29
0.451604,4.21
0.451606,4.29
0.451608,4.29
0.45161,4.21
0.451612,4.21
0.451614,4.21
0.451616,4.21
0.451618,4.21
0.45162,4.21
0.451622,4.21
0.451624,4.21
0.451626,4.21
0.451628,4.29
0.45163,4.21
0.451632,4.21
0.451634,4.21
0.451636,4.21
0.451638,4.29
0.45164,4.29
0.451642,4.29
0.451644,4.29
0.451646,4.21
0.451648,4.21
0.45165,4.21
0.451652,4.21
0.451654,4.21
0.451656,4.21
0.451658,4.21
0.45166,4.29
0.451662,4.21
0.451664,4.21
0.451666,4.21
0.451668,4.21
0.45167,4.21
0.451672,4.21
0.451674,4.21
0.451676,4.29
0.451678,4.21
0.45168,4.21
0.451682,4.21
0.451684,4.21
0.451686,4.21
0.451688,4.29
0.45169,4.29
0.451692,4.29
0.451694,4.21
0.451696,4.29
0.451698,4.21
0.4517,4.29
0.451702,4.29
0.451704,4.29
0.451706,4.21
0.451708,4.29
0.45171,4.21
0.451712,4.29
0.451714,4.21
0.451716,4.29
0.451718,4.21
0.45172,4.21
0.451722,4.29
0.451724,4.29
0.451726,4.29
0.451728,4.21
0.45173,4.29
0.451732,4.29
0.451734,4.29
0.451736,4.21
0.451738,4.21
0.45174,4.21
0.451742,4.21
0.451744,4.21
0.451746,4.29
0.451748,4.21
0.45175,4.21
0.451752,4.21
0.451754,4.21
0.451756,4.21
0.451758,4.29
0.45176,4.29
0.451762,4.29
0.451764,4.29
0.451766,4.29
0.451768,4.29
0.45177,4.21
0.451772,4.21
0.451774,4.21
0.451776,4.21
0.451778,4.21
0.45178,4.21
0.451782,4.29
0.451784,4.21
0.451786,4.29
0.451788,4.21
0.45179,4.29
0.451792,4.21
0.451794,4.21
0.451796,4.29
0.451798,4.21
0.4518,4.29
0.451802,4.29
0.451804,4.29
0.451806,4.29
0.451808,4.21
0.45181,4.21
0.451812,4.21
0.451814,4.37
0.451816,4.29
0.451818,4.21
0.45182,4.21
0.451822,4.29
0.451824,4.21
0.451826,4.21
0.451828,4.21
0.45183,4.29
0.451832,4.29
0.451834,4.21
0.451836,4.29
0.451838,4.21
0.45184,4.21
0.451842,4.29
0.451844,4.21
0.451846,4.21
0.451848,4.29
0.45185,4.21
0.451852,4.29
0.451854,4.21
0.451856,4.29
0.451858,4.21
0.45186,4.21
0.451862,4.21
0.451864,4.21
0.451866,4.29
0.451868,4.29
0.45187,4.21
0.451872,4.29
0.451874,4.21
0.451876,4.29
0.451878,4.21
0.45188,4.37
0.451882,4.21
0.451884,4.29
0.451886,4.21
0.451888,4.37
0.45189,4.29
0.451892,4.29
0.451894,4.29
0.451896,4.21
0.451898,4.29
0.4519,4.29
0.451902,4.21
0.451904,4.21
0.451906,4.29
0.451908,4.21
0.45191,4.29
0.451912,4.29
0.451914,4.21
0.451916,4.29
0.451918,4.29
0.45192,4.21
0.451922,4.29
0.451924,4.21
0.451926,4.29
0.451928,4.21
0.45193,4.29
0.451932,4.21
0.451934,4.21
0.451936,4.21
0.451938,4.29
0.45194,4.21
0.451942,4.21
0.451944,4.21
0.451946,4.29
0.451948,4.29
0.45195,4.29
0.451952,4.29
0.451954,4.29
0.451956,4.21
0.451958,4.21
0.45196,4.21
0.451962,4.21
0.451964,4.37
0.451966,4.29
0.451968,4.21
0.45197,4.21
0.451972,4.21
0.451974,4.21
0.451976,4.21
0.451978,4.21
0.45198,4.29
0.451982,4.21
0.451984,4.29
0.451986,4.29
0.451988,4.21
0.45199,4.21
0.451992,4.29
0.451994,4.29
0.451996,4.29
0.451998,4.21
0.452,4.21
0.452002,4.21
0.452004,4.21
0.452006,4.29
0.452008,4.21
0.45201,4.29
0.452012,4.29
0.452014,4.29
0.452016,4.21
0.452018,4.21
0.45202,4.37
0.452022,4.21
0.452024,4.21
0.452026,4.21
0.452028,4.21
0.45203,4.29
0.452032,4.29
0.452034,4.37
0.452036,4.29
0.452038,4.21
0.45204,4.29
0.452042,4.29
0.452044,4.21
0.452046,4.21
0.452048,4.29
0.45205,4.21
0.452052,4.21
0.452054,4.29
0.452056,4.21
0.452058,4.21
0.45206,4.29
0.452062,4.21
0.452064,4.21
0.452066,4.29
0.452068,4.21
0.45207,4.29
0.452072,4.29
0.452074,4.29
0.452076,4.21
0.452078,4.21
0.45208,4.29
0.452082,4.21
0.452084,4.21
0.452086,4.37
0.452088,4.21
0.45209,4.29
0.452092,4.29
0.452094,4.29
0.452096,4.29
0.452098,4.21
0.4521,4.21
0.452102,4.29
0.452104,4.29
0.452106,4.29
0.452108,4.21
0.45211,4.29
0.452112,4.29
0.452114,4.21
0.452116,4.21
0.452118,4.21
0.45212,4.29
0.452122,4.21
0.452124,4.21
0.452126,4.29
0.452128,4.21
0.45213,4.21
0.452132,4.29
0.452134,4.21
0.452136,4.21
0.452138,4.21
0.45214,4.29
0.452142,4.29
0.452144,4.21
0.452146,4.29
0.452148,4.37
0.45215,4.21
0.452152,4.29
0.452154,4.29
0.452156,4.29
0.452158,4.37
0.45216,4.29
0.452162,4.21
0.452164,4.21
0.452166,4.29
0.452168,4.21
0.45217,4.21
0.452172,4.37
0.452174,4.29
0.452176,4.29
0.452178,4.21
0.45218,4.37
0.452182,4.21
0.452184,4.21
0.452186,4.21
0.452188,4.29
0.45219,4.21
0.452192,4.21
0.452194,4.29
0.452196,4.21
0.452198,4.29
0.4522,4.29
0.452202,4.29
0.452204,4.21
0.452206,4.21
0.452208,4.21
0.45221,4.21
0.452212,4.29
0.452214,4.21
0.452216,4.21
0.452218,4.21
0.45222,4.29
0.452222,4.21
0.452224,4.21
0.452226,4.29
0.452228,4.21
0.45223,4.21
0.452232,4.21
0.452234,4.21
0.452236,4.29
0.452238,4.21
0.45224,4.37
0.452242,4.21
0.452244,4.21
0.452246,4.29
0.452248,4.21
0.45225,4.29
0.452252,4.29
0.452254,4.29
0.452256,4.21
0.452258,4.29
0.45226,4.21
0.452262,4.29
0.452264,4.21
0.452266,4.21
0.452268,4.21
0.45227,4.29
0.452272,4.29
0.452274,4.21
0.452276,4.29
0.452278,4.29
0.45228,4.21
0.452282,4.29
0.452284,4.29
0.452286,4.21
0.452288,4.29
0.45229,4.21
0.452292,4.29
0.452294,4.29
0.452296,4.21
0.452298,4.21
0.4523,4.21
0.452302,4.29
0.452304,4.21
0.452306,4.29
0.452308,4.29
0.45231,4.29
0.452312,4.29
0.452314,4.29
0.452316,4.29
0.452318,4.21
0.45232,4.21
0.452322,4.21
0.452324,4.29
0.452326,4.29
0.452328,4.21
0.45233,4.29
0.452332,4.29
0.452334,4.21
0.452336,4.21
0.452338,4.37
0.45234,4.29
0.452342,4.29
0.452344,4.21
0.452346,4.29
0.452348,4.29
0.45235,4.29
0.452352,4.29
0.452354,4.29
0.452356,4.29
0.452358,4.21
0.45236,4.29
0.452362,4.21
0.452364,4.21
0.452366,4.21
0.452368,4.21
0.45237,4.29
0.452372,4.21
0.452374,4.21
0.452376,4.37
0.452378,4.21
0.45238,4.21
0.452382,4.29
0.452384,4.29
0.452386,4.21
0.452388,4.29
0.45239,4.21
0.452392,4.21
0.452394,4.21
0.452396,4.29
0.452398,4.29
0.4524,4.21
0.452402,4.21
0.452404,4.21
0.452406,4.21
0.452408,4.29
0.45241,4.21
0.452412,4.29
0.452414,4.21
0.452416,4.21
0.452418,4.21
0.45242,4.21
0.452422,4.21
0.452424,4.21
0.452426,4.29
0.452428,4.21
0.45243,4.21
0.452432,4.21
0.452434,4.29
0.452436,4.29
0.452438,4.21
0.45244,4.37
0.452442,4.21
0.452444,4.21
0.452446,4.21
0.452448,4.21
0.45245,4.29
0.452452,4.29
0.452454,4.29
0.452456,4.29
0.452458,4.21
0.45246,4.21
0.452462,4.29
0.452464,4.21
0.452466,4.21
0.452468,4.29
0.45247,4.21
0.452472,4.29
0.452474,4.21
0.452476,4.21
0.452478,4.21
0.45248,4.29
0.452482,4.21
0.452484,4.21
0.452486,4.29
0.452488,4.21
0.45249,4.21
0.452492,4.29
0.452494,4.21
0.452496,4.21
0.452498,4.29
0.4525,4.29
0.452502,4.29
0.452504,4.21
0.452506,4.21
0.452508,4.29
0.45251,4.21
0.452512,4.21
0.452514,4.21
0.452516,4.21
0.452518,4.21
0.45252,4.37
0.452522,4.21
0.452524,4.21
0.452526,4.21
0.452528,4.29
0.45253,4.21
0.452532,4.21
0.452534,4.21
0.452536,4.21
0.452538,4.21
0.45254,4.21
0.452542,4.21
0.452544,4.21
0.452546,4.29
0.452548,4.29
0.45255,4.29
0.452552,4.21
0.452554,4.29
0.452556,4.29
0.452558,4.21
0.45256,4.29
0.452562,4.21
0.452564,4.21
0.452566,4.29
0.452568,4.21
0.45257,4.21
0.452572,4.29
0.452574,4.21
0.452576,4.21
0.452578,4.29
0.45258,4.29
0.452582,4.21
0.452584,4.29
0.452586,4.21
0.452588,4.29
0.45259,4.29
0.452592,4.37
0.452594,4.29
0.452596,4.21
0.452598,4.21
0.4526,4.21
0.452602,4.21
0.452604,4.29
0.452606,4.37
0.452608,4.21
0.45261,4.21
0.452612,4.29
0.452614,4.29
0.452616,4.21
0.452618,4.29
0.45262,4.29
0.452622,4.21
0.452624,4.29
0.452626,4.29
0.452628,4.37
0.45263,4.21
0.452632,4.29
0.452634,4.21
0.452636,4.29
0.452638,4.29
0.45264,4.29
0.452642,4.21
0.452644,4.29
0.452646,4.37
0.452648,4.29
0.45265,4.21
0.452652,4.21
0.452654,4.29
0.452656,4.21
0.452658,4.29
0.45266,4.21
0.452662,4.21
0.452664,4.21
0.452666,4.29
0.452668,4.37
0.45267,4.37
0.452672,4.21
0.452674,4.21
0.452676,4.29
0.452678,4.21
0.45268,4.29
0.452682,4.29
0.452684,4.21
0.452686,4.29
0.452688,4.21
0.45269,4.21
0.452692,4.21
0.452694,4.37
0.452696,4.21
0.452698,4.21
0.4527,4.21
0.452702,4.21
0.452704,4.29
0.452706,4.21
0.452708,4.21
0.45271,4.37
0.452712,4.21
0.452714,4.21
0.452716,4.21
0.452718,4.29
0.45272,4.21
0.452722,4.21
0.452724,4.21
0.452726,4.21
0.452728,4.21
0.45273,4.29
0.452732,4.21
0.452734,4.29
0.452736,4.21
0.452738,4.21
0.45274,4.37
0.452742,4.29
0.452744,4.29
0.452746,4.21
0.452748,4.21
0.45275,4.21
0.452752,4.21
0.452754,4.21
0.452756,4.21
0.452758,4.29
0.45276,4.29
0.452762,4.29
0.452764,4.29
0.452766,4.21
0.452768,4.21
0.45277,4.29
0.452772,4.21
0.452774,4.29
0.452776,4.29
0.452778,4.21
0.45278,4.29
0.452782,4.21
0.452784,4.29
0.452786,4.29
0.452788,4.29
0.45279,4.21
0.452792,4.21
0.452794,4.29
0.452796,4.29
0.452798,4.21
0.4528,4.21
0.452802,4.29
0.452804,4.21
0.452806,4.21
0.452808,4.29
0.45281,4.29
0.452812,4.21
0.452814,4.29
0.452816,4.29
0.452818,4.29
0.45282,4.21
0.452822,4.21
0.452824,4.21
0.452826,4.21
0.452828,4.21
0.45283,4.29
0.452832,4.21
0.452834,4.29
0.452836,4.29
0.452838,4.29
0.45284,4.21
0.452842,4.37
0.452844,4.37
0.452846,4.21
0.452848,4.21
0.45285,4.21
0.452852,4.29
0.452854,4.21
0.452856,4.37
0.452858,4.29
0.45286,4.37
0.452862,4.21
0.452864,4.29
0.452866,4.29
0.452868,4.21
0.45287,4.29
0.452872,4.21
0.452874,4.29
0.452876,4.29
0.452878,4.29
0.45288,4.21
0.452882,4.29
0.452884,4.29
0.452886,4.29
0.452888,4.29
0.45289,4.29
0.452892,4.29
0.452894,4.21
0.452896,4.21
0.452898,4.29
0.4529,4.37
0.452902,4.21
0.452904,4.29
0.452906,4.29
0.452908,4.37
0.45291,4.29
0.452912,4.29
0.452914,4.29
0.452916,4.37
0.452918,4.37
0.45292,4.21
0.452922,4.29
0.452924,4.29
0.452926,4.37
0.452928,4.29
0.45293,4.21
0.452932,4.29
0.452934,4.21
0.452936,4.21
0.452938,4.21
0.45294,4.29
0.452942,4.21
0.452944,4.21
0.452946,4.21
0.452948,4.29
0.45295,4.37
0.452952,4.21
0.452954,4.29
0.452956,4.29
0.452958,4.29
0.45296,4.29
0.452962,4.29
0.452964,4.21
0.452966,4.37
0.452968,4.21
0.45297,4.29
0.452972,4.29
0.452974,4.21
0.452976,4.29
0.452978,4.29
0.45298,4.21
0.452982,4.21
0.452984,4.29
0.452986,4.29
0.452988,4.29
0.45299,4.29
0.452992,4.29
0.452994,4.21
0.452996,4.29
0.452998,4.37
0.453,4.29
0.453002,4.21
0.453004,4.29
0.453006,4.21
0.453008,4.29
0.45301,4.29
0.453012,4.21
0.453014,4.29
0.453016,4.21
0.453018,4.21
0.45302,4.29
0.453022,4.29
0.453024,4.21
0.453026,4.21
0.453028,4.21
0.45303,4.21
0.453032,4.21
0.453034,4.29
0.453036,4.29
0.453038,4.29
0.45304,4.37
0.453042,4.21
0.453044,4.29
0.453046,4.21
0.453048,4.29
0.45305,4.21
0.453052,4.21
0.453054,4.29
0.453056,4.21
0.453058,4.21
0.45306,4.21
0.453062,4.21
0.453064,4.21
0.453066,4.21
0.453068,4.29
0.45307,4.29
0.453072,4.21
0.453074,4.21
0.453076,4.29
0.453078,4.29
0.45308,4.29
0.453082,4.21
0.453084,4.29
0.453086,4.37
0.453088,4.21
0.45309,4.29
0.453092,4.29
0.453094,4.29
0.453096,4.37
0.453098,4.29
0.4531,4.29
0.453102,4.29
0.453104,4.29
0.453106,4.29
